p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	threshold
BDP1	1.65985009915233e-08	-0.468845131111435	0.176	0.242	0.000299005396861301	Myeloid cell	BDP1	Down
CACNA2D3	1.66230915518946e-08	-0.997563356936668	0.036	0.07	0.000299448371215829	Myeloid cell	CACNA2D3	Down
PFKP	1.70471024307428e-08	1.60981736966293	0.063	0.025	0.000307086503187401	Myeloid cell	PFKP	Up
CAMTA1	1.73888319789647e-08	-0.642813675843276	0.094	0.146	0.00031324241926907	Myeloid cell	CAMTA1	Down
PGP	1.77390124729601e-08	-0.921459733007422	0.049	0.087	0.000319550570687904	Myeloid cell	PGP	Down
FLJ30901	1.7781252054393e-08	5.21303157494031	0.022	0	0.000320311474507836	Myeloid cell	FLJ30901	Up
HACD2	1.77903069925275e-08	-0.868356751900349	0.05	0.09	0.00032047459016339	Myeloid cell	HACD2	Down
HVCN1	1.79881545230117e-08	0.797661564414703	0.132	0.077	0.000324038615577532	Myeloid cell	HVCN1	Up
CDCA2	1.84388256479887e-08	-1.66215016094088	0.011	0.031	0.000332157005222869	Myeloid cell	CDCA2	Down
HNRNPUL2	1.86936151905577e-08	-0.59058975005651	0.115	0.17	0.000336746784042707	Myeloid cell	HNRNPUL2	Down
ARID2	1.87371439143239e-08	-0.727636032652637	0.084	0.133	0.000337530910472631	Myeloid cell	ARID2	Down
PRICKLE1	1.94951806973331e-08	4.3329410386755	0.024	0.001	0.000351186185081759	Myeloid cell	PRICKLE1	Up
ARHGAP45	1.97495551895452e-08	0.676172372197156	0.186	0.123	0.000355768487184467	Myeloid cell	ARHGAP45	Up
BUB3	1.99396237544515e-08	-0.630072427601062	0.11	0.165	0.000359192382312689	Myeloid cell	BUB3	Down
PGPEP1	1.99789555940875e-08	1.31763661816962	0.074	0.032	0.000359900906071891	Myeloid cell	PGPEP1	Up
HNRNPA0	2.01618553420309e-08	-0.443591910908297	0.192	0.259	0.000363195662131344	Myeloid cell	HNRNPA0	Down
CA2	2.0290478998378e-08	1.29261259448714	0.087	0.043	0.00036551268867678	Myeloid cell	CA2	Up
LOC101927851	2.11427270355731e-08	2.78418827613643	0.031	0.004	0.000380865084818814	Myeloid cell	LOC101927851	Up
MGEA5	2.16172892707956e-08	0.679624812262427	0.169	0.108	0.000389413848924111	Myeloid cell	MGEA5	Up
MRPS35	2.21989681963659e-08	-0.391771838270644	0.136	0.198	0.000399892213089336	Myeloid cell	MRPS35	Down
RPL18	2.23377665813985e-08	0.469136376114974	0.577	0.558	0.000402392527197313	Myeloid cell	RPL18	Up
CDC25B	2.25254527496049e-08	-1.15852728767166	0.019	0.045	0.000405773505831382	Myeloid cell	CDC25B	Down
MZT2A	2.26552661154646e-08	-0.793394694219128	0.05	0.089	0.00040811196380398	Myeloid cell	MZT2A	Down
C19orf48	2.32905684611384e-08	-1.0615908051687	0.026	0.056	0.000419556300258947	Myeloid cell	C19orf48	Down
DCAF7	2.37368842077956e-08	-0.529642351052334	0.113	0.169	0.000427596232119229	Myeloid cell	DCAF7	Down
CCR5	2.39113640132376e-08	2.842193879572	0.031	0.004	0.000430739311334461	Myeloid cell	CCR5	Up
PRELID2	2.40808360374821e-08	-1.25592111927929	0.02	0.046	0.000433792180379202	Myeloid cell	PRELID2	Down
SAE1	2.42032380320311e-08	-0.93646466289417	0.039	0.074	0.000435997129909009	Myeloid cell	SAE1	Down
SLC35B1	2.47430151959933e-08	-0.804283010361864	0.04	0.076	0.000445720675740624	Myeloid cell	SLC35B1	Down
LRPPRC	2.56948657990046e-08	-0.577290643452743	0.134	0.193	0.000462867312503268	Myeloid cell	LRPPRC	Down
RGS19	2.57910909552871e-08	0.584465256190176	0.179	0.116	0.000464600712468542	Myeloid cell	RGS19	Up
TMEM91	2.59152591158877e-08	1.90621037244315	0.044	0.012	0.000466837477713601	Myeloid cell	TMEM91	Up
LPGAT1	2.64215191972583e-08	-0.452628985152768	0.154	0.217	0.000475957246819411	Myeloid cell	LPGAT1	Down
SESN1	2.74319188811987e-08	1.46533957418104	0.056	0.02	0.000494158586725914	Myeloid cell	SESN1	Up
BACH1	2.76717120607573e-08	0.78410814644434	0.217	0.154	0.000498478221062482	Myeloid cell	BACH1	Up
TUSC1	2.87338748177815e-08	-2.72628049836059	0.002	0.012	0.000517612020967516	Myeloid cell	TUSC1	Down
KRR1	2.87727011139461e-08	-0.622379632248274	0.1	0.152	0.000518311437866625	Myeloid cell	KRR1	Down
NEDD9	2.92019193303315e-08	-0.715053242937336	0.065	0.108	0.000526043374816592	Myeloid cell	NEDD9	Down
TBXAS1	2.98557640446707e-08	1.13502906293903	0.095	0.049	0.000537821733500698	Myeloid cell	TBXAS1	Up
COX8A	3.03680276756149e-08	-0.283728382915627	0.364	0.451	0.000547049650548527	Myeloid cell	COX8A	Down
PLK1	3.11431085996401e-08	-1.74785391030894	0.009	0.027	0.000561011958313916	Myeloid cell	PLK1	Down
SIGIRR	3.12023375726385e-08	1.30306814528216	0.069	0.03	0.00056207890903351	Myeloid cell	SIGIRR	Up
STAG1	3.25963935593157e-08	-0.724470114083762	0.063	0.106	0.000587191433577514	Myeloid cell	STAG1	Down
RNU5D-1	3.26911222831157e-08	2.58412572663155	0.032	0.005	0.000588897876808045	Myeloid cell	RNU5D-1	Up
TCEAL4	3.27775092737782e-08	-0.709540642900483	0.081	0.128	0.000590454052057841	Myeloid cell	TCEAL4	Down
CFDP1	3.27951594138925e-08	-0.626436259940381	0.098	0.149	0.00059077200168186	Myeloid cell	CFDP1	Down
BLVRA	3.36663509857028e-08	-0.50836121530544	0.131	0.19	0.000606465646656449	Myeloid cell	BLVRA	Down
SMC5	3.41241882445882e-08	-0.448458998373138	0.166	0.231	0.000614713127038011	Myeloid cell	SMC5	Down
PTGFR	3.44225872921236e-08	5.78511278436473	0.022	0	0.000620088487480315	Myeloid cell	PTGFR	Up
DNAJB1	3.47492438219014e-08	1.14674890665737	0.1	0.053	0.000625972878207732	Myeloid cell	DNAJB1	Up
CPSF2	3.59930822502272e-08	-0.486453483688122	0.11	0.165	0.000648379383655592	Myeloid cell	CPSF2	Down
DRAM2	3.62256694975355e-08	0.931264004495466	0.116	0.066	0.000652569210328604	Myeloid cell	DRAM2	Up
PDAP1	3.74118158890558e-08	-0.290230870767964	0.32	0.403	0.000673936451425451	Myeloid cell	PDAP1	Down
RPL13AP3	3.78976837542479e-08	-0.571780215765314	0.115	0.17	0.000682688875149022	Myeloid cell	RPL13AP3	Down
TCN2	3.83473033814345e-08	2.51403383097312	0.034	0.006	0.00069078832311316	Myeloid cell	TCN2	Up
ECHDC1	3.91784716795567e-08	-0.546004277330976	0.154	0.214	0.000705760988835534	Myeloid cell	ECHDC1	Down
KIF4B	3.93324473911486e-08	-2.30529373275056	0.003	0.015	0.000708534707304151	Myeloid cell	KIF4B	Down
OXSR1	3.95469729649262e-08	-0.636777925460946	0.082	0.13	0.00071239917099018	Myeloid cell	OXSR1	Down
CHP1	3.99549158905872e-08	0.549652826900762	0.274	0.206	0.000719747854853038	Myeloid cell	CHP1	Up
MPHOSPH10	4.04148268052239e-08	-0.66460007881408	0.073	0.118	0.000728032690069304	Myeloid cell	MPHOSPH10	Down
ADRB2	4.15265097825332e-08	1.640382335658	0.051	0.017	0.000748058547222553	Myeloid cell	ADRB2	Up
DYNLL1	4.16212363971227e-08	0.688626363435401	0.207	0.145	0.000749764952457768	Myeloid cell	DYNLL1	Up
UBBP4	4.19625240274938e-08	0.678876038147719	0.154	0.097	0.000755912907831274	Myeloid cell	UBBP4	Up
TSPOAP1	4.30373213695056e-08	-1.41433649204585	0.014	0.037	0.000775274307150274	Myeloid cell	TSPOAP1	Down
PRPF19	4.33133274482038e-08	-0.832923058405765	0.053	0.092	0.000780246280651943	Myeloid cell	PRPF19	Down
ABHD5	4.37403364779591e-08	-0.895196974741987	0.062	0.104	0.000787938421313955	Myeloid cell	ABHD5	Down
CBFB	4.38215271064846e-08	-0.677370897879644	0.062	0.104	0.000789400989296214	Myeloid cell	CBFB	Down
RBMX	4.44658226107349e-08	-0.310706637350487	0.301	0.379	0.000801007328509778	Myeloid cell	RBMX	Down
BCL2A1	4.46770539779959e-08	0.461869709620489	0.212	0.147	0.000804812450359618	Myeloid cell	BCL2A1	Up
SLITRK4	4.80567794802624e-08	1.3746723610026	0.094	0.049	0.000865694825557447	Myeloid cell	SLITRK4	Up
ARHGAP11A	4.82915812997084e-08	-0.757475119964185	0.055	0.095	0.000869924545532947	Myeloid cell	ARHGAP11A	Down
CALML4	4.90690838706515e-08	1.26875456344168	0.061	0.024	0.000883930476845917	Myeloid cell	CALML4	Up
SP1	5.00300513081991e-08	0.691165909544191	0.155	0.098	0.000901241344265899	Myeloid cell	SP1	Up
TNFRSF21	5.0117730338445e-08	-1.83744987429706	0.006	0.022	0.000902820794316748	Myeloid cell	TNFRSF21	Down
ZBED3	5.03805981885536e-08	-1.74569795218783	0.006	0.022	0.000907556095768604	Myeloid cell	ZBED3	Down
WBP11P1	5.0890127316795e-08	-0.918176318929153	0.035	0.067	0.000916734753484745	Myeloid cell	WBP11P1	Down
YPEL3	5.12106813335191e-08	2.14071737012442	0.035	0.007	0.000922509213542012	Myeloid cell	YPEL3	Up
NFYA	5.13015111631422e-08	-0.952461180186746	0.025	0.053	0.000924145422092844	Myeloid cell	NFYA	Down
HP1BP3	5.14920590231308e-08	-0.333735359530392	0.327	0.403	0.000927577951242678	Myeloid cell	HP1BP3	Down
CPPED1	5.16437418626141e-08	0.664123789220843	0.197	0.136	0.00093031036591313	Myeloid cell	CPPED1	Up
ICMT	5.18056296262798e-08	-0.902576505107584	0.031	0.062	0.000933226612087805	Myeloid cell	ICMT	Down
CCR6	5.18719769325419e-08	2.90307612171902	0.03	0.004	0.00093442179246281	Myeloid cell	CCR6	Up
TMEM59	5.22474193205322e-08	0.483400490932772	0.302	0.231	0.000941185011640068	Myeloid cell	TMEM59	Up
MX1	5.29740507093667e-08	1.41047763914652	0.058	0.022	0.000954274549478532	Myeloid cell	MX1	Up
ANP32A	5.39483199137356e-08	-0.328227978793198	0.28	0.356	0.000971825034926033	Myeloid cell	ANP32A	Down
CSTF2T	5.41526790052864e-08	-1.06750215209973	0.021	0.047	0.000975506359601229	Myeloid cell	CSTF2T	Down
AIFM1	5.437915351818e-08	-0.673505958712046	0.071	0.115	0.000979586071476495	Myeloid cell	AIFM1	Down
UBP1	5.58761361077417e-08	-0.663213703223385	0.069	0.113	0.00100655271584486	Myeloid cell	UBP1	Down
NAP1L4	5.59175468165775e-08	-0.427671181795545	0.174	0.24	0.00100729868835383	Myeloid cell	NAP1L4	Down
TXNDC5	5.61329528286037e-08	-1.0457403376572	0.022	0.049	0.00101117901225447	Myeloid cell	TXNDC5	Down
ZNF146	5.65385644100612e-08	-0.698558357204034	0.089	0.138	0.00101848569928284	Myeloid cell	ZNF146	Down
TMEM167A	5.69955766288702e-08	-0.287383534892793	0.26	0.337	0.00102671831739247	Myeloid cell	TMEM167A	Down
MDH1	5.72360428563552e-08	-0.474092068738588	0.175	0.24	0.00103105007601438	Myeloid cell	MDH1	Down
LPL	5.79937150151592e-08	3.2168736412347	0.027	0.003	0.00104469878228308	Myeloid cell	LPL	Up
RIOK3	5.80460409775473e-08	0.572435714329167	0.291	0.225	0.00104564138216954	Myeloid cell	RIOK3	Up
SLFN12	5.89142341641651e-08	1.50575000502395	0.051	0.017	0.00106128101423327	Myeloid cell	SLFN12	Up
LOC100190986	5.92871749380871e-08	0.858682002360566	0.131	0.079	0.0010679991693347	Myeloid cell	LOC100190986	Up
CCT2	5.99641159949273e-08	-0.55929164134973	0.121	0.176	0.00108019358553262	Myeloid cell	CCT2	Down
CENPJ	6.03958799730915e-08	-0.674536923266592	0.064	0.106	0.00108797138183527	Myeloid cell	CENPJ	Down
THRAP3	6.06169370166073e-08	-0.331340568438796	0.248	0.322	0.00109195350341716	Myeloid cell	THRAP3	Down
CTBP1	6.08464105864871e-08	-0.499365518333449	0.112	0.166	0.00109608724030498	Myeloid cell	CTBP1	Down
CNOT1	6.16406761298822e-08	-0.509434449530785	0.128	0.184	0.0011103951398037	Myeloid cell	CNOT1	Down
PARP8	6.16682622074388e-08	0.619924287833417	0.213	0.15	0.0011108920754048	Myeloid cell	PARP8	Up
RPS4X	6.18854749226926e-08	0.277776892819447	0.856	0.84	0.00111480494525738	Myeloid cell	RPS4X	Up
LOC105376805	6.21622238865276e-08	-0.76591395779702	0.059	0.1	0.00111979030109191	Myeloid cell	LOC105376805	Down
WDHD1	6.22348964159715e-08	-1.17684954828809	0.018	0.043	0.00112109942403731	Myeloid cell	WDHD1	Down
ABRACL	6.37084737555016e-08	-0.410028650562387	0.219	0.289	0.00114764444623161	Myeloid cell	ABRACL	Down
POLE	6.49974011195915e-08	-1.15228911546044	0.02	0.045	0.00117086318376832	Myeloid cell	POLE	Down
ULK1	6.50907709630354e-08	1.03330743397259	0.085	0.042	0.00117254514812812	Myeloid cell	ULK1	Up
UBA2	6.51959392299461e-08	-0.520442620707311	0.123	0.179	0.00117443964928825	Myeloid cell	UBA2	Down
SPINK2	6.63770563945145e-08	2.12075171739219	0.051	0.018	0.00119571629389078	Myeloid cell	SPINK2	Up
ZFY	6.75399791235947e-08	-0.890828845124754	0.031	0.062	0.00121666518393244	Myeloid cell	ZFY	Down
B3GALNT2	6.80363701888821e-08	-0.904980329669641	0.039	0.073	0.00122560717258252	Myeloid cell	B3GALNT2	Down
LOC200772	6.90810246383514e-08	3.09691301719379	0.025	0.002	0.00124442557783526	Myeloid cell	LOC200772	Up
HIST1H2BC	6.91868276421766e-08	1.43859127535544	0.075	0.035	0.00124633151314617	Myeloid cell	HIST1H2BC	Up
KCNJ2	7.00182676373133e-08	-0.582030418930143	0.086	0.134	0.00126130907321856	Myeloid cell	KCNJ2	Down
OCLN	7.02761651814625e-08	2.26961510330667	0.036	0.008	0.00126595483957886	Myeloid cell	OCLN	Up
PI4K2B	7.05433137556752e-08	-1.132301124282	0.016	0.04	0.00127076725399473	Myeloid cell	PI4K2B	Down
RFX8	7.07847466300203e-08	2.37653030722318	0.029	0.004	0.00127511642579319	Myeloid cell	RFX8	Up
SH3BP1	7.13436688450166e-08	1.18192104240027	0.057	0.022	0.00128518485057413	Myeloid cell	SH3BP1	Up
FILIP1	7.51141328262956e-08	-0.749775009921886	0.044	0.08	0.00135310598873289	Myeloid cell	FILIP1	Down
RARA	7.56990694754369e-08	-0.831362544418148	0.05	0.087	0.00136364303753052	Myeloid cell	RARA	Down
PPARGC1A	7.59422212051221e-08	5.19366625007337	0.021	0	0.00136802317278907	Myeloid cell	PPARGC1A	Up
GINS4	7.62920417731212e-08	-1.27487433687271	0.019	0.044	0.001374324840501	Myeloid cell	GINS4	Down
ANGPT1	7.67129246575137e-08	3.50777484050144	0.025	0.002	0.00138190662478045	Myeloid cell	ANGPT1	Up
MBOAT7	7.67226011981936e-08	1.16240550187034	0.08	0.038	0.00138208093798426	Myeloid cell	MBOAT7	Up
LDLRAD4	7.7106117004838e-08	-0.978312410136913	0.023	0.05	0.00138898959172515	Myeloid cell	LDLRAD4	Down
LAP3	7.72411176725627e-08	-0.522706715841899	0.18	0.244	0.00139142149375354	Myeloid cell	LAP3	Down
NDUFB8	7.85256268801189e-08	-0.484999754985458	0.164	0.226	0.00141456064261846	Myeloid cell	NDUFB8	Down
MXI1	8.0185888424742e-08	1.05502105253063	0.096	0.051	0.0014444685940833	Myeloid cell	MXI1	Up
DDX11	8.10406647460277e-08	-1.2919969101371	0.018	0.043	0.00145986653473494	Myeloid cell	DDX11	Down
DAZAP1	8.16040022474698e-08	-0.582328419456044	0.091	0.139	0.00147001449648592	Myeloid cell	DAZAP1	Down
DNAJC7	8.21936894134117e-08	-0.415538827901122	0.212	0.279	0.0014806371210932	Myeloid cell	DNAJC7	Down
TGFBR1	8.38005569915659e-08	-0.690116618982396	0.055	0.095	0.00150958323364607	Myeloid cell	TGFBR1	Down
TRIM13	8.71263651112157e-08	1.28246198286228	0.1	0.054	0.00156949434111344	Myeloid cell	TRIM13	Up
GSAP	8.72768582727683e-08	-0.569411649743724	0.085	0.132	0.00157220532492565	Myeloid cell	GSAP	Down
TAF1B	8.84473011153454e-08	-0.687164368094205	0.063	0.104	0.00159328968229183	Myeloid cell	TAF1B	Down
ARID4B	8.89837221317464e-08	0.572274623824467	0.218	0.154	0.00160295277048128	Myeloid cell	ARID4B	Up
MAD2L2	8.93448001983588e-08	-0.777627378360811	0.042	0.077	0.00160945723077324	Myeloid cell	MAD2L2	Down
ANKRD33B	9.03590906877808e-08	-2.72628049836059	0.002	0.012	0.00162772865964968	Myeloid cell	ANKRD33B	Down
FCGR2C	9.09409484370931e-08	2.59154319819404	0.03	0.005	0.00163821024514579	Myeloid cell	FCGR2C	Up
KIF18A	9.14083722854348e-08	-1.2729449550527	0.025	0.053	0.00164663041834982	Myeloid cell	KIF18A	Down
C8orf59	9.35049558141858e-08	-0.420664748614197	0.23	0.298	0.00168439827403674	Myeloid cell	C8orf59	Down
IBTK	9.4071868726784e-08	-0.705086276091467	0.091	0.139	0.00169461064324429	Myeloid cell	IBTK	Down
HNRNPA1L2	9.48101392060413e-08	-0.664075551645561	0.066	0.108	0.00170790984765763	Myeloid cell	HNRNPA1L2	Down
POP4	9.637999609739e-08	-0.913803083265344	0.054	0.092	0.00173618924969838	Myeloid cell	POP4	Down
DNAJC15	9.69846573879891e-08	-0.529542665784311	0.146	0.203	0.00174708161818724	Myeloid cell	DNAJC15	Down
MYCBP	9.85639503915529e-08	-0.55823932096077	0.083	0.13	0.00177553100235343	Myeloid cell	MYCBP	Down
HYOU1	9.89299417932343e-08	-0.742768621149159	0.066	0.108	0.00178212397146332	Myeloid cell	HYOU1	Down
FABP5P3	9.92009916860841e-08	-1.64900478488395	0.009	0.026	0.00178700666423312	Myeloid cell	FABP5P3	Down
PTX3	9.92160060892606e-08	2.13170049676698	0.037	0.009	0.00178727713369194	Myeloid cell	PTX3	Up
HACE1	1.01410655593096e-07	-1.26089961339211	0.011	0.031	0.00182681154985402	Myeloid cell	HACE1	Down
TPM3P9	1.04326363222136e-07	-0.656706022250747	0.078	0.123	0.00187933510708356	Myeloid cell	TPM3P9	Down
RNF213	1.04391357493418e-07	0.505521383547411	0.257	0.19	0.00188050591388643	Myeloid cell	RNF213	Up
MTHFD2	1.0447682877966e-07	-0.6172377390653	0.105	0.155	0.00188204559363679	Myeloid cell	MTHFD2	Down
POLR1D	1.06320876743321e-07	0.564796944655007	0.217	0.154	0.00191526427365418	Myeloid cell	POLR1D	Up
SGK3	1.07808575736442e-07	-0.714036902605843	0.103	0.153	0.00194206368331626	Myeloid cell	SGK3	Down
ZNF595	1.0811519572494e-07	-1.79819568048295	0.008	0.025	0.00194758713578906	Myeloid cell	ZNF595	Down
MAP4K4	1.09947874767809e-07	-0.334916083460296	0.14	0.197	0.00198060101606731	Myeloid cell	MAP4K4	Down
COMMD9	1.11638687497017e-07	-0.61997159621425	0.102	0.152	0.00201105931657126	Myeloid cell	COMMD9	Down
GCLC	1.12147122941243e-07	-0.715963207375077	0.059	0.1	0.00202021827266355	Myeloid cell	GCLC	Down
CD180	1.15368004717629e-07	1.22561727430668	0.052	0.019	0.00207823923698337	Myeloid cell	CD180	Up
SNX10	1.15574261316784e-07	-0.482568189928418	0.184	0.246	0.00208195474336055	Myeloid cell	SNX10	Down
F11R	1.17154881761215e-07	1.00076406070827	0.078	0.038	0.00211042804004653	Myeloid cell	F11R	Up
KIF18B	1.18249669460678e-07	-1.74660048274019	0.008	0.025	0.00213014954566465	Myeloid cell	KIF18B	Down
FAS	1.18558307891935e-07	-0.730166024654542	0.057	0.096	0.00213570935836532	Myeloid cell	FAS	Down
CDC42	1.20398120005997e-07	0.255671609194004	0.726	0.704	0.00216885173378803	Myeloid cell	CDC42	Up
WDFY4	1.20460733779239e-07	-0.962545094278596	0.043	0.078	0.00216997965829921	Myeloid cell	WDFY4	Down
RIPOR1	1.20504015396772e-07	2.21128179299035	0.034	0.007	0.00217075933335746	Myeloid cell	RIPOR1	Up
CENPQ	1.22065887234357e-07	-1.07389007011914	0.023	0.049	0.00219889489263971	Myeloid cell	CENPQ	Down
BOLA3	1.22447451840419e-07	-0.912164484481418	0.031	0.061	0.00220576839745331	Myeloid cell	BOLA3	Down
TUBA4A	1.22836891365749e-07	-0.675480491353358	0.058	0.097	0.0022127837610626	Myeloid cell	TUBA4A	Down
RAB14	1.2368895854639e-07	0.606772171823232	0.172	0.114	0.00222813289925466	Myeloid cell	RAB14	Up
ZFAS1	1.27057479030186e-07	0.407320787075457	0.543	0.502	0.00228881342724978	Myeloid cell	ZFAS1	Up
HLA-DPB2	1.29373584077545e-07	2.04532439874781	0.036	0.009	0.0023305357435729	Myeloid cell	HLA-DPB2	Up
AMZ2P1	1.30551855519006e-07	-0.801420834758046	0.035	0.066	0.00235176112531938	Myeloid cell	AMZ2P1	Down
INIP	1.3212438860256e-07	-0.478708845662474	0.08	0.126	0.00238008873628651	Myeloid cell	INIP	Down
CLIC2	1.33950444983523e-07	-1.0546063644461	0.028	0.057	0.00241298331593318	Myeloid cell	CLIC2	Down
BUB1B	1.34520109911097e-07	-1.20341411873135	0.022	0.048	0.0024232452599385	Myeloid cell	BUB1B	Down
RAB2A	1.35637500331603e-07	0.468361670744827	0.364	0.297	0.0024433739309735	Myeloid cell	RAB2A	Up
SOX11	1.36018638393017e-07	-0.635442334442891	0.048	0.084	0.00245023975201181	Myeloid cell	SOX11	Down
IFIT2	1.41023696990693e-07	1.83044069814632	0.047	0.016	0.00254040087759034	Myeloid cell	IFIT2	Up
VNN1	1.42142773384965e-07	1.12499154022722	0.061	0.025	0.00256055991975677	Myeloid cell	VNN1	Up
UBE2S	1.46432594123793e-07	-0.993419302527121	0.032	0.062	0.00263783675054602	Myeloid cell	UBE2S	Down
ANAPC5	1.47097688066236e-07	-0.407348289933684	0.175	0.238	0.00264981775282518	Myeloid cell	ANAPC5	Down
GGTA1P	1.47673553572997e-07	-1.01578711555558	0.021	0.045	0.00266019139406397	Myeloid cell	GGTA1P	Down
MINOS1P1	1.50623394191058e-07	-1.01578711555558	0.026	0.054	0.00271332982295771	Myeloid cell	MINOS1P1	Down
APOC1	1.51071757985493e-07	-2.55635549691828	0.002	0.011	0.00272140664835067	Myeloid cell	APOC1	Down
CCDC84	1.51399977790296e-07	-0.532704228853632	0.074	0.118	0.00272731919991439	Myeloid cell	CCDC84	Down
AUTS2	1.53574787401579e-07	-2.01578711555558	0.005	0.018	0.00276649622025204	Myeloid cell	AUTS2	Down
TYMSOS	1.54495889749633e-07	-1.76785960211199	0.006	0.022	0.00278308895794989	Myeloid cell	TYMSOS	Down
S100Z	1.56303657873967e-07	1.51383235132181	0.053	0.02	0.00281565409294163	Myeloid cell	S100Z	Up
BAG5	1.600499250665e-07	-0.527240946541155	0.064	0.105	0.00288313935014793	Myeloid cell	BAG5	Down
FBN2	1.60290945911127e-07	-1.14842488413369	0.02	0.045	0.00288748109964304	Myeloid cell	FBN2	Down
SSH2	1.60909353360738e-07	0.734002518968214	0.147	0.094	0.00289862109144033	Myeloid cell	SSH2	Up
CD300A	1.61655968788054e-07	1.14582261767473	0.077	0.038	0.00291207062174801	Myeloid cell	CD300A	Up
CHST15	1.62964427426868e-07	1.77744669825738	0.042	0.013	0.00293564119566761	Myeloid cell	CHST15	Up
EIF2B3	1.63903775464485e-07	-0.820099018048182	0.05	0.086	0.00295256261121723	Myeloid cell	EIF2B3	Down
HEXA	1.64236896790402e-07	0.926497386588137	0.115	0.067	0.0029585634587823	Myeloid cell	HEXA	Up
KIFC1	1.66662145779628e-07	-1.43082461483442	0.014	0.035	0.00300225189407422	Myeloid cell	KIFC1	Down
TCEA1	1.67203335688709e-07	-0.379607268450292	0.26	0.329	0.0030120008890964	Myeloid cell	TCEA1	Down
CYP27A1	1.67549862001859e-07	4.94999716910651	0.019	0	0.00301824321410149	Myeloid cell	CYP27A1	Up
TOMM22	1.68633452147137e-07	-0.645837505805269	0.101	0.15	0.00303776300697853	Myeloid cell	TOMM22	Down
TFAM	1.690174967751e-07	-0.631872133772512	0.117	0.169	0.00304468118690666	Myeloid cell	TFAM	Down
ADAMTS2	1.69270625582068e-07	3.29709583972878	0.024	0.002	0.00304924104923537	Myeloid cell	ADAMTS2	Up
XPO1	1.69676345511227e-07	-0.480338569875997	0.188	0.249	0.00305654968803925	Myeloid cell	XPO1	Down
IFNGR2	1.73925616098118e-07	0.76970837253829	0.128	0.078	0.00313309604839149	Myeloid cell	IFNGR2	Up
IPMK	1.78059970768897e-07	-0.80556940816523	0.051	0.088	0.00320757231343091	Myeloid cell	IPMK	Down
CENPX	1.78427196246387e-07	-0.698520398038077	0.048	0.084	0.00321418751318242	Myeloid cell	CENPX	Down
NUDT21	1.79222432971445e-07	-0.581890589025416	0.09	0.137	0.0032285129075476	Myeloid cell	NUDT21	Down
MDM1	1.79919375485617e-07	-0.726280498360591	0.037	0.069	0.0032410676299979	Myeloid cell	MDM1	Down
ARHGAP35	1.81250358562458e-07	-1.02827805973877	0.037	0.069	0.00326504395914413	Myeloid cell	ARHGAP35	Down
ACY3	1.82873249244334e-07	4.53880173612206	0.021	0.001	0.00329427871188743	Myeloid cell	ACY3	Up
MRPL51	1.83418277845647e-07	-0.556355496918278	0.121	0.173	0.00330409685711149	Myeloid cell	MRPL51	Down
CAND1	1.84741347643484e-07	-0.739077772824705	0.062	0.102	0.00332793063644971	Myeloid cell	CAND1	Down
ARL11	1.88776551943616e-07	1.18830448903793	0.068	0.031	0.00340062080671229	Myeloid cell	ARL11	Up
MPC1	1.89483418233557e-07	-0.408164017423247	0.151	0.211	0.00341335429605929	Myeloid cell	MPC1	Down
TMEM126A	1.91648301537595e-07	-0.704818232658079	0.069	0.11	0.00345235250389823	Myeloid cell	TMEM126A	Down
MORC3	1.92052778238709e-07	0.772237079053315	0.148	0.095	0.00345963874719211	Myeloid cell	MORC3	Up
SKIV2L2	1.9294981329812e-07	-0.620427101053198	0.077	0.12	0.00347579793675234	Myeloid cell	SKIV2L2	Down
UBXN2A	1.97256964666127e-07	-0.65715613770577	0.058	0.097	0.00355338696149562	Myeloid cell	UBXN2A	Down
DDX39A	1.98620465625222e-07	-0.551916431751781	0.097	0.145	0.00357794906777276	Myeloid cell	DDX39A	Down
ST7	1.98967833488864e-07	-1.54185592722316	0.008	0.025	0.00358420655246839	Myeloid cell	ST7	Down
U2SURP	1.98979141875397e-07	-0.314326949204787	0.289	0.36	0.00358441026174339	Myeloid cell	U2SURP	Down
ASRGL1	2.02072803130109e-07	-0.710284568581324	0.057	0.095	0.00364013947558579	Myeloid cell	ASRGL1	Down
CDC25A	2.02968287079121e-07	-2.08290131141411	0.003	0.015	0.00365627072344329	Myeloid cell	CDC25A	Down
AAK1	2.05956299947781e-07	0.586248898524522	0.196	0.136	0.00371009678725932	Myeloid cell	AAK1	Up
IFI44L	2.09627125669329e-07	2.09351152693524	0.048	0.017	0.00377622304180729	Myeloid cell	IFI44L	Up
C5orf51	2.17644450913772e-07	-0.679011256260899	0.043	0.077	0.0039206471387607	Myeloid cell	C5orf51	Down
ST6GALNAC3	2.20451784419333e-07	-2.53934907161259	0.002	0.013	0.00397121844452987	Myeloid cell	ST6GALNAC3	Down
PTPRN2	2.22265266644311e-07	2.49200752464312	0.029	0.005	0.00400388651333061	Myeloid cell	PTPRN2	Up
CASP8AP2	2.23761809656535e-07	-0.754231638647695	0.077	0.12	0.00403084523915282	Myeloid cell	CASP8AP2	Down
UBL3	2.2460796694588e-07	-0.551594122824553	0.079	0.123	0.00404608791656309	Myeloid cell	UBL3	Down
